SN,District (English),District (Nepali),Headquarter,Population 2011,No of Houses,Total Number of Family,Total Population 2021,Male,Female,Area,Gender Ratio,Members in Family,Population Per km2,Growth Rate
1,Dolakha District,दोलखा जिल्ला,Bhimeshwar,186557.00,47870.00,50676.00,172726.00,84112.00,88614.00,2191.00,94.92,3.41,79.00,-0.74
2,Sindhupalchok District,सिन्धुपाल्चोक जिल्ला,Chautara,287798.00,69751.00,73010.00,262852.00,129395.00,133457.00,2542.00,96.96,3.60,103.00,-0.87
3,Rasuwa District,रसुवा जिल्ला,Dhunche,43300.00,11362.00,11841.00,45554.00,22859.00,22695.00,1544.00,100.72,3.85,30.00,0.49
4,Dhading District,धादिङ जिल्ला,Nilkantha,336067.00,78663.00,84463.00,322751.00,157207.00,165544.00,1926.00,94.96,3.82,166.00,-0.39
5,Nuwakot District,नुवाकोट जिल्ला,Bidur,277471.00,65734.00,69160.00,262981.00,128849.00,134132.00,1121.00,96.06,3.80,235.00,-0.51
6,Kathmandu District,काठमाडौँ जिल्ला,Kathmandu,1744240.00,276054.00,538163.00,2017532.00,1025727.00,991805.00,395.00,103.42,3.75,5108.00,1.40
7,Bhaktapur District,भक्तपुर जिल्ला,Bhaktapur,304651.00,70946.00,108550.00,430408.00,217942.00,212466.00,119.00,102.58,3.97,3617.00,3.32
8,Lalitpur District,ललितपुर जिल्ला,Lalitpur,468132.00,97394.00,141012.00,548401.00,275537.00,272864.00,385.00,100.98,3.89,1424.00,1.52
9,Kavrepalanchok District,काभ्रेपलान्चोक जिल्ला,Dhulikhel,381937.00,83932.00,93189.00,366879.00,180967.00,185912.00,1396.00,97.34,3.94,263.00,-0.39
10,Ramechhap District,रामेछाप जिल्ला,Manthali,202646.00,45073.00,46935.00,170620.00,80778.00,89842.00,1546.00,89.91,3.64,110.00,-1.65
11,Sindhuli District,सिन्धुली जिल्ला,Kamalamai,296192.00,64629.00,69409.00,300117.00,147658.00,152459.00,2491.00,96.85,4.32,120.00,0.13
12,Makwanpur District,मकवानपुर जिल्ला,Hetauda,420477.00,96214.00,106606.00,461053.00,228472.00,232581.00,2426.00,98.23,4.32,190.00,0.80
13,Chitwan District,चितवन जिल्ला,Bharatpur,579984.00,153662.00,182083.00,722168.00,354071.00,368097.00,2218.00,96.19,3.97,326.00,2.10
Total,,,,"5,529,452",1161284.00,1575097.00,6084042.00,3033574.00,3050468.00,20300.00,99.45,3.86,300.00,0.92
1,Dolakha District,दोलखा जिल्ला,Bhimeshwar,186557.00,47870.00,50676.00,172726.00,84112.00,88614.00,2191.00,94.92,3.41,79.00,-0.74
2,Sindhupalchok District,सिन्धुपाल्चोक जिल्ला,Chautara,287798.00,69751.00,73010.00,262852.00,129395.00,133457.00,2542.00,96.96,3.60,103.00,-0.87
3,Rasuwa District,रसुवा जिल्ला,Dhunche,43300.00,11362.00,11841.00,45554.00,22859.00,22695.00,1544.00,100.72,3.85,30.00,0.49
4,Dhading District,धादिङ जिल्ला,Nilkantha,336067.00,78663.00,84463.00,322751.00,157207.00,165544.00,1926.00,94.96,3.82,166.00,-0.39
5,Nuwakot District,नुवाकोट जिल्ला,Bidur,277471.00,65734.00,69160.00,262981.00,128849.00,134132.00,1121.00,96.06,3.80,235.00,-0.51
6,Kathmandu District,काठमाडौँ जिल्ला,Kathmandu,1744240.00,276054.00,538163.00,2017532.00,1025727.00,991805.00,395.00,103.42,3.75,5108.00,1.40
7,Bhaktapur District,भक्तपुर जिल्ला,Bhaktapur,304651.00,70946.00,108550.00,430408.00,217942.00,212466.00,119.00,102.58,3.97,3617.00,3.32
8,Lalitpur District,ललितपुर जिल्ला,Lalitpur,468132.00,97394.00,141012.00,548401.00,275537.00,272864.00,385.00,100.98,3.89,1424.00,1.52
9,Kavrepalanchok District,काभ्रेपलान्चोक जिल्ला,Dhulikhel,381937.00,83932.00,93189.00,366879.00,180967.00,185912.00,1396.00,97.34,3.94,263.00,-0.39
10,Ramechhap District,रामेछाप जिल्ला,Manthali,202646.00,45073.00,46935.00,170620.00,80778.00,89842.00,1546.00,89.91,3.64,110.00,-1.65
11,Sindhuli District,सिन्धुली जिल्ला,Kamalamai,296192.00,64629.00,69409.00,300117.00,147658.00,152459.00,2491.00,96.85,4.32,120.00,0.13
12,Makwanpur District,मकवानपुर जिल्ला,Hetauda,420477.00,96214.00,106606.00,461053.00,228472.00,232581.00,2426.00,98.23,4.32,190.00,0.80
13,Chitwan District,चितवन जिल्ला,Bharatpur,579984.00,153662.00,182083.00,722168.00,354071.00,368097.00,2218.00,96.19,3.97,326.00,2.10
Total,,,,"5,529,452",1161284.00,1575097.00,6084042.00,3033574.00,3050468.00,20300.00,99.45,3.86,300.00,0.92
